doc_id,url,error
1785,https://students.wlu.ca/support-and-wellness/student-affairs/governance/restricted/bog-meetings.html,401 Client Error: Unauthorized for url: https://students.wlu.ca/support-and-wellness/student-affairs/governance/restricted/bog-meetings.html
1786,https://students.wlu.ca/support-and-wellness/student-affairs/governance/restricted/senate-meetings.html,401 Client Error: Unauthorized for url: https://students.wlu.ca/support-and-wellness/student-affairs/governance/restricted/senate-meetings.html
