doc_id,url,section,last_modified
60,https://students.wlu.ca/academics/global-engagement-and-exchanges/index.html,academics,    2026-06-30
61,https://students.wlu.ca/academics/global-engagement-and-exchanges/financial-assistance.html,academics,    2025-04-04
62,https://students.wlu.ca/academics/global-engagement-and-exchanges/international-at-home/language-sharing-programs.html,academics,    2025-12-05
63,https://students.wlu.ca/academics/global-engagement-and-exchanges/international-at-home/student-leadership.html,academics,    2024-11-12
64,https://students.wlu.ca/academics/global-engagement-and-exchanges/international-at-home/intercultural-certificate.html,academics,    2026-06-29
65,https://students.wlu.ca/academics/global-engagement-and-exchanges/international-at-home/index.html,academics,    2026-06-29
66,https://students.wlu.ca/academics/global-engagement-and-exchanges/incoming-exchange-students.html,academics,    2025-12-12
67,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/volunteering.html,academics,    2026-06-29
68,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/internships.html,academics,    2026-06-29
69,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/faculty-led-programs-abroad.html,academics,    2026-05-15
70,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/partner-universities.html,academics,    2026-06-25
71,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/summer-exchanges.html,academics,    2026-03-12
72,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/exchanges.html,academics,    2026-06-29
73,https://students.wlu.ca/academics/global-engagement-and-exchanges/opportunities-abroad/index.html,academics,    2023-10-19
74,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/graduate-teaching-assistants/documentation.html,academics,    2023-09-21
75,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/graduate-teaching-assistants/training.html,academics,    2026-01-29
76,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/graduate-teaching-assistants/job-opportunities.html,academics,    2026-02-24
77,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/graduate-teaching-assistants/index.html,academics,    2024-05-01
78,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/academic-appeals/index.html,academics,    2026-07-14
79,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/academic-appeals/appeal-process.html,academics,    2025-11-27
80,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/academic-appeals/appeal-form.html,academics,    2026-06-29
81,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/academic-appeals/types-of-appeal.html,academics,    2024-12-05
82,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/managing-your-program/convocation-graduate-students.html,academics,    2026-05-26
83,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/managing-your-program/letter-requests.html,academics,    2026-03-18
84,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/managing-your-program/tuition-payment-plan-program.html,academics,    2026-03-31
85,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/managing-your-program/course-registration.html,academics,    2026-06-01
86,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/managing-your-program/index.html,academics,    2025-06-19
87,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/index.html,academics,    2026-06-30
88,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/masters-progress-and-activity-reports.html,academics,    2026-02-25
89,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/graduate-advising.html,academics,    2026-02-25
90,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/phd-progress-and-activity-reports.html,academics,    2025-11-13
91,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/anticipated-gta-opportunities.html,academics,    2023-12-07
92,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/3mt.html,academics,    2024-07-18
93,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/psac-negotiations-faqs.html,academics,    2022-03-03
94,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/course-grade-appeals.html,academics,    2021-05-26
95,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/changing-historical-academic-records.html,academics,    2021-05-26
96,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/progress-issues.html,academics,    2025-04-08
97,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/forms-inventory.html,academics,    2026-02-19
98,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/leaves-and-withdraw-from-program.html,academics,    2025-02-25
99,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/assets/resources/paying-for-grad-school.html,academics,    2021-12-22
100,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/aspire/index.html,academics,    2025-09-16
101,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/aspire/student-teaching-development.html,academics,    2026-02-05
102,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/aspire/skills-training.html,academics,    2026-05-28
103,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/aspire/incoming-student-support.html,academics,    2026-07-23
104,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/aspire/assets/resources/aspire-professional-development-certificate.html,academics,    2025-08-22
105,https://students.wlu.ca/academics/graduate-and-postdoctoral-studies/aspire/assets/resources/opportunities-challenges-of-generative-ai-tools-in-academia-resource-for-students-in-teaching-roles.html,academics,    2025-09-05
106,https://students.wlu.ca/academics/records-and-registration/student-records/certificates.html,academics,    2026-06-26
107,https://students.wlu.ca/academics/records-and-registration/student-records/index.html,academics,    2026-05-11
108,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/index.html,academics,    2026-05-29
109,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/transfer-credits-for-incoming-transfer-students.html,academics,    2025-06-27
110,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/course-registration-for-returning-students.html,academics,    2022-06-20
